timestamp,metric_type,sensor_id,value,unit
2026-07-08T00:33:48.269701Z,pressure,,0.3821,MPa
2026-07-08T00:33:49.284314Z,pressure,,0.3945,MPa
2026-07-08T00:33:50.295216Z,pressure,,0.3991,MPa
2026-07-08T00:33:51.306078Z,pressure,,0.3808,MPa
2026-07-08T00:33:52.319479Z,pressure,,0.3988,MPa
2026-07-08T00:33:53.330217Z,pressure,,0.4028,MPa
2026-07-08T00:33:54.339651Z,pressure,,0.4038,MPa
2026-07-08T00:33:55.350610Z,pressure,,0.403,MPa
2026-07-08T00:33:56.361412Z,pressure,,0.3816,MPa
2026-07-08T00:33:57.372351Z,pressure,,0.3841,MPa
2026-07-08T00:33:58.382037Z,pressure,,0.4121,MPa
2026-07-08T00:33:59.401479Z,pressure,,0.4114,MPa
2026-07-08T00:34:00.410823Z,pressure,,0.3935,MPa
2026-07-08T00:34:01.421547Z,pressure,,0.3816,MPa
2026-07-08T00:34:02.431538Z,pressure,,0.3972,MPa
2026-07-08T00:34:03.441370Z,pressure,,0.4137,MPa
2026-07-08T00:34:04.448800Z,pressure,,0.3875,MPa
2026-07-08T00:34:05.457724Z,pressure,,0.4162,MPa
2026-07-08T00:34:06.467735Z,pressure,,0.3975,MPa
2026-07-08T00:34:07.478872Z,pressure,,0.4038,MPa
2026-07-08T00:34:08.488702Z,pressure,,0.3894,MPa
2026-07-08T00:34:09.505342Z,pressure,,0.3863,MPa
2026-07-08T00:34:10.516359Z,pressure,,0.3918,MPa
2026-07-08T00:34:11.527762Z,pressure,,0.3825,MPa
2026-07-08T00:34:12.539030Z,pressure,,0.3845,MPa
2026-07-08T00:34:13.550381Z,pressure,,0.409,MPa
2026-07-08T00:34:14.559858Z,pressure,,0.3885,MPa
2026-07-08T00:34:15.569564Z,pressure,,0.4164,MPa
2026-07-08T00:34:16.581064Z,pressure,,0.3839,MPa
2026-07-08T00:34:17.591817Z,pressure,,0.4165,MPa
2026-07-08T00:34:18.602786Z,pressure,,0.412,MPa
2026-07-08T00:34:19.614941Z,pressure,,0.4066,MPa
2026-07-08T00:34:20.625815Z,pressure,,0.4121,MPa
2026-07-08T00:34:21.637181Z,pressure,,0.4156,MPa
2026-07-08T00:34:22.647985Z,pressure,,0.3806,MPa
2026-07-08T00:34:23.657809Z,pressure,,0.3839,MPa
2026-07-08T00:34:24.668756Z,pressure,,0.383,MPa
2026-07-08T00:34:25.679659Z,pressure,,0.4043,MPa
2026-07-08T00:34:26.690785Z,pressure,,0.3975,MPa
2026-07-08T00:34:27.701609Z,pressure,,0.4111,MPa
2026-07-08T00:34:28.711021Z,pressure,,0.3962,MPa
2026-07-08T00:34:29.722164Z,pressure,,0.4122,MPa
2026-07-08T00:34:30.731915Z,pressure,,0.3827,MPa
2026-07-08T00:34:31.743195Z,pressure,,0.4046,MPa
2026-07-08T00:34:32.754445Z,pressure,,0.4043,MPa
2026-07-08T00:34:33.765650Z,pressure,,0.3807,MPa
2026-07-08T00:34:34.776597Z,pressure,,0.4001,MPa
2026-07-08T00:34:35.785854Z,pressure,,0.4141,MPa
2026-07-08T00:34:36.796744Z,pressure,,0.4111,MPa
2026-07-08T00:34:37.807762Z,pressure,,0.4137,MPa
2026-07-08T00:34:38.818840Z,pressure,,0.4025,MPa
2026-07-08T00:34:39.830123Z,pressure,,0.3928,MPa
2026-07-08T00:34:40.839272Z,pressure,,0.4194,MPa
2026-07-08T00:34:41.850387Z,pressure,,0.3872,MPa
2026-07-08T00:34:42.861086Z,pressure,,0.4143,MPa
