timestamp,metric_type,sensor_id,value,unit
2026-07-08T00:39:50.116008Z,pressure,,0.4054,MPa
2026-07-08T00:39:51.127417Z,pressure,,0.3969,MPa
2026-07-08T00:39:52.138513Z,pressure,,0.3927,MPa
2026-07-08T00:39:53.149617Z,pressure,,0.3905,MPa
2026-07-08T00:39:54.160594Z,pressure,,0.4178,MPa
2026-07-08T00:39:55.170796Z,pressure,,0.3833,MPa
2026-07-08T00:39:56.180517Z,pressure,,0.3813,MPa
2026-07-08T00:39:57.192063Z,pressure,,0.407,MPa
2026-07-08T00:39:58.202780Z,pressure,,0.3904,MPa
2026-07-08T00:39:59.213746Z,pressure,,0.4094,MPa
2026-07-08T00:40:00.223028Z,pressure,,0.4125,MPa
2026-07-08T00:40:01.232574Z,pressure,,0.3896,MPa
2026-07-08T00:40:02.243506Z,pressure,,0.3998,MPa
2026-07-08T00:40:03.254590Z,pressure,,0.3849,MPa
2026-07-08T00:40:04.270204Z,pressure,,0.3884,MPa
2026-07-08T00:40:05.282164Z,pressure,,0.3817,MPa
2026-07-08T00:40:06.291768Z,pressure,,0.3977,MPa
2026-07-08T00:40:07.302905Z,pressure,,0.4053,MPa
2026-07-08T00:40:08.314258Z,pressure,,0.4136,MPa
2026-07-08T00:40:09.327328Z,pressure,,0.4187,MPa
2026-07-08T00:40:10.339224Z,pressure,,0.3856,MPa
2026-07-08T00:40:11.348516Z,pressure,,0.3929,MPa
2026-07-08T00:40:12.359353Z,pressure,,0.406,MPa
2026-07-08T00:40:13.370501Z,pressure,,0.4122,MPa
2026-07-08T00:40:14.381380Z,pressure,,0.4029,MPa
2026-07-08T00:40:15.392784Z,pressure,,0.418,MPa
2026-07-08T00:40:16.402958Z,pressure,,0.4108,MPa
2026-07-08T00:40:17.413573Z,pressure,,0.3992,MPa
2026-07-08T00:40:18.424303Z,pressure,,0.3859,MPa
2026-07-08T00:40:19.434485Z,pressure,,0.3845,MPa
2026-07-08T00:40:20.444225Z,pressure,,0.3959,MPa
2026-07-08T00:40:21.456213Z,pressure,,0.4062,MPa
2026-07-08T00:40:22.467116Z,pressure,,0.4124,MPa
2026-07-08T00:40:23.477983Z,pressure,,0.4118,MPa
2026-07-08T00:40:24.487485Z,pressure,,0.394,MPa
2026-07-08T00:40:25.497923Z,pressure,,0.4189,MPa
2026-07-08T00:40:26.507073Z,pressure,,0.4032,MPa
2026-07-08T00:40:27.518814Z,pressure,,0.4079,MPa
2026-07-08T00:40:28.528797Z,pressure,,0.4027,MPa
2026-07-08T00:40:29.540522Z,pressure,,0.3978,MPa
2026-07-08T00:40:30.552036Z,pressure,,0.416,MPa
2026-07-08T00:40:31.562225Z,pressure,,0.4155,MPa
2026-07-08T00:40:32.575145Z,pressure,,0.3811,MPa
2026-07-08T00:40:33.585286Z,pressure,,0.3986,MPa
2026-07-08T00:40:34.596081Z,pressure,,0.4017,MPa
2026-07-08T00:40:35.608426Z,pressure,,0.3855,MPa
2026-07-08T00:40:36.623117Z,pressure,,0.3965,MPa
2026-07-08T00:40:37.635021Z,pressure,,0.3939,MPa
2026-07-08T00:40:38.646958Z,pressure,,0.3822,MPa
2026-07-08T00:40:39.656374Z,pressure,,0.4173,MPa
2026-07-08T00:40:40.667539Z,pressure,,0.4138,MPa
2026-07-08T00:40:41.680143Z,pressure,,0.3953,MPa
2026-07-08T00:40:42.691769Z,pressure,,0.4145,MPa
2026-07-08T00:40:43.702970Z,pressure,,0.3998,MPa
2026-07-08T00:40:44.714747Z,pressure,,0.3843,MPa
2026-07-08T00:40:45.726958Z,pressure,,0.3813,MPa
2026-07-08T00:40:46.740998Z,pressure,,0.409,MPa
2026-07-08T00:40:47.752826Z,pressure,,0.3885,MPa
2026-07-08T00:40:48.764667Z,pressure,,0.4014,MPa
2026-07-08T00:40:49.775472Z,pressure,,0.3983,MPa
2026-07-08T00:40:50.786819Z,pressure,,0.4022,MPa
2026-07-08T00:40:51.797425Z,pressure,,0.4062,MPa
2026-07-08T00:40:52.807545Z,pressure,,0.4089,MPa
2026-07-08T00:40:53.819842Z,pressure,,0.3891,MPa
2026-07-08T00:40:54.831869Z,pressure,,0.3907,MPa
2026-07-08T00:40:55.843536Z,pressure,,0.3943,MPa
2026-07-08T00:40:56.857056Z,pressure,,0.4045,MPa
2026-07-08T00:40:57.866430Z,pressure,,0.388,MPa
2026-07-08T00:40:58.877773Z,pressure,,0.4032,MPa
2026-07-08T00:40:59.890491Z,pressure,,0.4054,MPa
2026-07-08T00:41:00.902287Z,pressure,,0.3949,MPa
2026-07-08T00:41:01.918688Z,pressure,,0.3915,MPa
2026-07-08T00:41:02.929040Z,pressure,,0.4184,MPa
2026-07-08T00:41:03.941162Z,pressure,,0.398,MPa
2026-07-08T00:41:04.952728Z,pressure,,0.4078,MPa
2026-07-08T00:41:05.964364Z,pressure,,0.4074,MPa
2026-07-08T00:41:06.976553Z,pressure,,0.416,MPa
2026-07-08T00:41:07.986520Z,pressure,,0.4033,MPa
2026-07-08T00:41:08.998354Z,pressure,,0.4141,MPa
2026-07-08T00:41:10.010119Z,pressure,,0.3988,MPa
2026-07-08T00:41:11.022159Z,pressure,,0.3858,MPa
2026-07-08T00:41:12.033910Z,pressure,,0.4142,MPa
2026-07-08T00:41:13.043999Z,pressure,,0.3892,MPa
2026-07-08T00:41:14.053979Z,pressure,,0.4196,MPa
2026-07-08T00:41:15.065505Z,pressure,,0.3929,MPa
2026-07-08T00:41:16.077010Z,pressure,,0.3886,MPa
2026-07-08T00:41:17.089043Z,pressure,,0.3932,MPa
2026-07-08T00:41:18.099408Z,pressure,,0.4122,MPa
2026-07-08T00:41:19.111120Z,pressure,,0.3855,MPa
2026-07-08T00:41:20.122902Z,pressure,,0.3959,MPa
2026-07-08T00:41:21.134465Z,pressure,,0.4146,MPa
2026-07-08T00:41:22.146522Z,pressure,,0.4077,MPa
2026-07-08T00:41:23.156475Z,pressure,,0.3981,MPa
2026-07-08T00:41:24.168587Z,pressure,,0.4137,MPa
2026-07-08T00:41:25.179961Z,pressure,,0.3888,MPa
2026-07-08T00:41:26.190416Z,pressure,,0.4115,MPa
2026-07-08T00:41:27.203444Z,pressure,,0.3864,MPa
2026-07-08T00:41:28.214032Z,pressure,,0.4074,MPa
2026-07-08T00:41:29.225531Z,pressure,,0.393,MPa
2026-07-08T00:41:30.236655Z,pressure,,0.3957,MPa
2026-07-08T00:41:31.248448Z,pressure,,0.4065,MPa
2026-07-08T00:41:32.260204Z,pressure,,0.4174,MPa
2026-07-08T00:41:33.270497Z,pressure,,0.415,MPa
2026-07-08T00:41:34.282558Z,pressure,,0.4034,MPa
2026-07-08T00:41:35.294351Z,pressure,,0.408,MPa
2026-07-08T00:41:36.305759Z,pressure,,0.4149,MPa
2026-07-08T00:41:37.316693Z,pressure,,0.3999,MPa
2026-07-08T00:41:38.330882Z,pressure,,0.3971,MPa
2026-07-08T00:41:39.342110Z,pressure,,0.4041,MPa
2026-07-08T00:41:40.353118Z,pressure,,0.4006,MPa
2026-07-08T00:41:41.365238Z,pressure,,0.3936,MPa
2026-07-08T00:41:42.377091Z,pressure,,0.4147,MPa
2026-07-08T00:41:43.388464Z,pressure,,0.3871,MPa
2026-07-08T00:41:44.400094Z,pressure,,0.4116,MPa
2026-07-08T00:41:45.411726Z,pressure,,0.4092,MPa
2026-07-08T00:41:46.423380Z,pressure,,0.4193,MPa
2026-07-08T00:41:47.434962Z,pressure,,0.3961,MPa
2026-07-08T00:41:48.446237Z,pressure,,0.3831,MPa
2026-07-08T00:41:49.457486Z,pressure,,0.4096,MPa
2026-07-08T00:41:50.469123Z,pressure,,0.3827,MPa
2026-07-08T00:39:50.116008Z,flow,,12.4,L/min
2026-07-08T00:39:51.127417Z,flow,,12.31,L/min
2026-07-08T00:39:52.138513Z,flow,,11.66,L/min
2026-07-08T00:39:53.149617Z,flow,,12.08,L/min
2026-07-08T00:39:54.160594Z,flow,,12.06,L/min
2026-07-08T00:39:55.170796Z,flow,,11.6,L/min
2026-07-08T00:39:56.180517Z,flow,,12.31,L/min
2026-07-08T00:39:57.192063Z,flow,,11.64,L/min
2026-07-08T00:39:58.202780Z,flow,,11.9,L/min
2026-07-08T00:39:59.213746Z,flow,,12.41,L/min
2026-07-08T00:40:00.223028Z,flow,,11.95,L/min
2026-07-08T00:40:01.232574Z,flow,,12.15,L/min
2026-07-08T00:40:02.243506Z,flow,,12.49,L/min
2026-07-08T00:40:03.254590Z,flow,,12.04,L/min
2026-07-08T00:40:04.270204Z,flow,,11.64,L/min
2026-07-08T00:40:05.282164Z,flow,,11.83,L/min
2026-07-08T00:40:06.291768Z,flow,,12.47,L/min
2026-07-08T00:40:07.302905Z,flow,,12.21,L/min
2026-07-08T00:40:08.314258Z,flow,,12.32,L/min
2026-07-08T00:40:09.327328Z,flow,,12.31,L/min
2026-07-08T00:40:10.339224Z,flow,,12.12,L/min
2026-07-08T00:40:11.348516Z,flow,,12.35,L/min
2026-07-08T00:40:12.359353Z,flow,,12.08,L/min
2026-07-08T00:40:13.370501Z,flow,,11.9,L/min
2026-07-08T00:40:14.381380Z,flow,,12.02,L/min
