timestamp,metric_type,sensor_id,value,unit
2026-07-08T00:39:58.202780Z,pressure,,0.3904,MPa
2026-07-08T00:39:59.213746Z,pressure,,0.4094,MPa
2026-07-08T00:40:00.223028Z,pressure,,0.4125,MPa
2026-07-08T00:40:01.232574Z,pressure,,0.3896,MPa
2026-07-08T00:40:02.243506Z,pressure,,0.3998,MPa
2026-07-08T00:40:03.254590Z,pressure,,0.3849,MPa
2026-07-08T00:40:04.270204Z,pressure,,0.3884,MPa
2026-07-08T00:40:05.282164Z,pressure,,0.3817,MPa
2026-07-08T00:40:06.291768Z,pressure,,0.3977,MPa
2026-07-08T00:40:07.302905Z,pressure,,0.4053,MPa
2026-07-08T00:40:08.314258Z,pressure,,0.4136,MPa
2026-07-08T00:40:09.327328Z,pressure,,0.4187,MPa
2026-07-08T00:40:10.339224Z,pressure,,0.3856,MPa
2026-07-08T00:40:11.348516Z,pressure,,0.3929,MPa
2026-07-08T00:40:12.359353Z,pressure,,0.406,MPa
2026-07-08T00:40:13.370501Z,pressure,,0.4122,MPa
2026-07-08T00:40:14.381380Z,pressure,,0.4029,MPa
2026-07-08T00:40:15.392784Z,pressure,,0.418,MPa
2026-07-08T00:40:16.402958Z,pressure,,0.4108,MPa
2026-07-08T00:40:17.413573Z,pressure,,0.3992,MPa
2026-07-08T00:40:18.424303Z,pressure,,0.3859,MPa
2026-07-08T00:40:19.434485Z,pressure,,0.3845,MPa
2026-07-08T00:40:20.444225Z,pressure,,0.3959,MPa
2026-07-08T00:40:21.456213Z,pressure,,0.4062,MPa
2026-07-08T00:40:22.467116Z,pressure,,0.4124,MPa
2026-07-08T00:40:23.477983Z,pressure,,0.4118,MPa
2026-07-08T00:40:24.487485Z,pressure,,0.394,MPa
2026-07-08T00:40:25.497923Z,pressure,,0.4189,MPa
2026-07-08T00:40:26.507073Z,pressure,,0.4032,MPa
2026-07-08T00:40:27.518814Z,pressure,,0.4079,MPa
2026-07-08T00:40:28.528797Z,pressure,,0.4027,MPa
2026-07-08T00:40:29.540522Z,pressure,,0.3978,MPa
2026-07-08T00:40:30.552036Z,pressure,,0.416,MPa
2026-07-08T00:40:31.562225Z,pressure,,0.4155,MPa
2026-07-08T00:40:32.575145Z,pressure,,0.3811,MPa
2026-07-08T00:40:33.585286Z,pressure,,0.3986,MPa
2026-07-08T00:40:34.596081Z,pressure,,0.4017,MPa
2026-07-08T00:40:35.608426Z,pressure,,0.3855,MPa
2026-07-08T00:40:36.623117Z,pressure,,0.3965,MPa
2026-07-08T00:40:37.635021Z,pressure,,0.3939,MPa
2026-07-08T00:40:38.646958Z,pressure,,0.3822,MPa
2026-07-08T00:40:39.656374Z,pressure,,0.4173,MPa
2026-07-08T00:40:40.667539Z,pressure,,0.4138,MPa
2026-07-08T00:40:41.680143Z,pressure,,0.3953,MPa
2026-07-08T00:40:42.691769Z,pressure,,0.4145,MPa
2026-07-08T00:40:43.702970Z,pressure,,0.3998,MPa
2026-07-08T00:40:44.714747Z,pressure,,0.3843,MPa
2026-07-08T00:40:45.726958Z,pressure,,0.3813,MPa
2026-07-08T00:40:46.740998Z,pressure,,0.409,MPa
2026-07-08T00:40:47.752826Z,pressure,,0.3885,MPa
2026-07-08T00:40:48.764667Z,pressure,,0.4014,MPa
2026-07-08T00:40:49.775472Z,pressure,,0.3983,MPa
2026-07-08T00:40:50.786819Z,pressure,,0.4022,MPa
2026-07-08T00:40:51.797425Z,pressure,,0.4062,MPa
2026-07-08T00:40:52.807545Z,pressure,,0.4089,MPa
2026-07-08T00:40:53.819842Z,pressure,,0.3891,MPa
2026-07-08T00:40:54.831869Z,pressure,,0.3907,MPa
2026-07-08T00:40:55.843536Z,pressure,,0.3943,MPa
2026-07-08T00:40:56.857056Z,pressure,,0.4045,MPa
2026-07-08T00:40:57.866430Z,pressure,,0.388,MPa
2026-07-08T00:40:58.877773Z,pressure,,0.4032,MPa
2026-07-08T00:40:59.890491Z,pressure,,0.4054,MPa
2026-07-08T00:41:00.902287Z,pressure,,0.3949,MPa
2026-07-08T00:41:01.918688Z,pressure,,0.3915,MPa
2026-07-08T00:41:02.929040Z,pressure,,0.4184,MPa
2026-07-08T00:41:03.941162Z,pressure,,0.398,MPa
2026-07-08T00:42:18.761240Z,pressure,,0.3847,MPa
2026-07-08T00:42:19.770532Z,pressure,,0.4133,MPa
2026-07-08T00:42:20.779807Z,pressure,,0.3956,MPa
2026-07-08T00:42:21.790891Z,pressure,,0.3845,MPa
2026-07-08T00:42:22.801157Z,pressure,,0.3946,MPa
2026-07-08T00:42:23.811559Z,pressure,,0.4054,MPa
2026-07-08T00:42:24.821772Z,pressure,,0.3966,MPa
2026-07-08T00:42:25.831390Z,pressure,,0.4038,MPa
2026-07-08T00:42:26.841948Z,pressure,,0.4193,MPa
