timestamp,metric_type,sensor_id,value,unit
2026-07-08T00:52:14.242961Z,pressure,,0.4171,MPa
2026-07-08T00:52:15.253386Z,pressure,,0.4005,MPa
2026-07-08T00:52:16.262962Z,pressure,,0.397,MPa
2026-07-08T00:52:17.274742Z,pressure,,0.384,MPa
2026-07-08T00:52:18.285773Z,pressure,,0.41,MPa
2026-07-08T00:52:19.296703Z,pressure,,0.4103,MPa
2026-07-08T00:52:20.306212Z,pressure,,0.4184,MPa
2026-07-08T00:52:21.315497Z,pressure,,0.4132,MPa
2026-07-08T00:52:22.324457Z,pressure,,0.3983,MPa
2026-07-08T00:52:23.335914Z,pressure,,0.4128,MPa
2026-07-08T00:52:24.348816Z,pressure,,0.3953,MPa
2026-07-08T00:52:25.358494Z,pressure,,0.3851,MPa
2026-07-08T00:52:26.370061Z,pressure,,0.3957,MPa
2026-07-08T00:52:27.380719Z,pressure,,0.4122,MPa
2026-07-08T00:52:28.390515Z,pressure,,0.3889,MPa
2026-07-08T00:52:29.401917Z,pressure,,0.3957,MPa
2026-07-08T00:52:30.412575Z,pressure,,0.3864,MPa
2026-07-08T00:52:31.423444Z,pressure,,0.3946,MPa
2026-07-08T00:52:32.434004Z,pressure,,0.4165,MPa
2026-07-08T00:52:33.446147Z,pressure,,0.394,MPa
2026-07-08T00:52:34.457248Z,pressure,,0.3993,MPa
2026-07-08T00:52:35.467856Z,pressure,,0.3837,MPa
2026-07-08T00:52:36.479301Z,pressure,,0.3826,MPa
2026-07-08T00:52:37.490011Z,pressure,,0.4155,MPa
2026-07-08T00:52:38.501639Z,pressure,,0.4046,MPa
2026-07-08T00:52:39.513037Z,pressure,,0.3844,MPa
2026-07-08T00:52:40.523348Z,pressure,,0.3823,MPa
2026-07-08T00:52:41.534138Z,pressure,,0.4081,MPa
2026-07-08T00:52:42.541768Z,pressure,,0.3992,MPa
2026-07-08T00:52:43.551080Z,pressure,,0.3994,MPa
2026-07-08T00:52:44.558841Z,pressure,,0.4177,MPa
2026-07-08T00:52:45.568438Z,pressure,,0.418,MPa
2026-07-08T00:52:46.579393Z,pressure,,0.3965,MPa
2026-07-08T00:52:47.590198Z,pressure,,0.4018,MPa
2026-07-08T00:52:48.602427Z,pressure,,0.4036,MPa
2026-07-08T00:52:49.612762Z,pressure,,0.3807,MPa
2026-07-08T00:52:50.624246Z,pressure,,0.4044,MPa
